ID,Haus/Wohnung,ID,Miete/Kauf,address,balcony,builtInKitchen,city,floorplan,from,garden,lat,livingSpace,lon,numberOfRooms,postcode,price,privateOffer,quarter,title,url,price_sq_m
100027976,Wohnung,100027976,Miete,"Pohlestraße 14, Köpenick (Köpenick), Berlin",true,true,Berlin,true,001.3112839,false,52.44056,83,13.58415,3,12557,828,false,Köpenick (Köpenick),3 RaumWohnung; Balkon +Dach Garten Anteil + EBK Komplett,https://www.immobilienscout24.de/expose/100027976,9.97590361446
100122011,Wohnung,100122011,Miete,"Soldiner Straße 35, Wedding (Wedding), Berlin",false,false,Berlin,false,001.172849,false,52.55992,83.55,13.38284,2,13359,1086,false,Wedding (Wedding),!!! DREI NETTOKALTMIETEN FREI !!! - Große 2-Zimmer-Wohnung in Berlin-Wedding,https://www.immobilienscout24.de/expose/100122011,12.9982046679
100149210,Wohnung,100149210,Miete,"Vopeliuspfad 10, Zehlendorf (Zehlendorf), Berlin",true,true,Berlin,true,001.453607,false,52.43492,238,13.26728,6,14169,2760,false,Zehlendorf (Zehlendorf),++Eindrucksvolle Altbauwohnung im 2. OG mit 3 Terrassen in einer restaurierten Villa++Vopeliuspfad++,https://www.immobilienscout24.de/expose/100149210,11.5966386555
100150862,Wohnung,100150862,Miete,"Rudolf-von-Gneist-Gasse 1, Tiergarten (Tiergarten), Berlin",true,true,Berlin,true,001.37030,false,52.50677,102.2,13.37421,2,10785,1636,false,Tiergarten (Tiergarten),#Skylights: Dachgeschossmaisonette mit großer Terrasse und Panoramafenstern!,https://www.immobilienscout24.de/expose/100150862,16.0078277886
100155473,Wohnung,100155473,Miete,"Wackenbergstr. 57, Niederschönhausen (Pankow), Berlin",true,true,Berlin,true,009.bfab7c1d-44dd-4f47-bd7f-06d43ad6fd52,false,52.58621,74.94,13.41376,2,13156,636.76,true,Niederschönhausen (Pankow),"Schön Wohnen im Erdgeschoss mit Terrasse und ""Grünblick"" - Single oder zu Zweit",https://www.immobilienscout24.de/expose/100155473,8.49693087804
100157936,Wohnung,100157936,Miete,"Sophienstr. 9, Mitte (Mitte), Berlin",true,false,Berlin,true,002.01000732049,false,52.52512,86.42,13.40229,2,10178,1728.5,false,Mitte (Mitte),Galerie-Wohnung in den Rosenhöfen!,https://www.immobilienscout24.de/expose/100157936,20.0011571396
100177956,Wohnung,100177956,Miete,"Brüder-Grimm-Gasse 1, Tiergarten (Tiergarten), Berlin",true,true,Berlin,true,001.37030,false,52.50637,125.98,13.374,4,10785,2100,false,Tiergarten (Tiergarten),"#Potsdamer Platz: Großzügig, mit Balkon + Terrasse, zwei Bädern, Einbauküche, Parkett!",https://www.immobilienscout24.de/expose/100177956,16.6693125893
100218502,Wohnung,100218502,Miete,"Mitte (Mitte), Berlin",true,true,Berlin,true,001.1011756,false,,303,,4,10117,5446,false,Mitte (Mitte),Gönnen Sie sich etwas Luxus - Residieren im Upper Eastside Berlin!,https://www.immobilienscout24.de/expose/100218502,17.9735973597
100233054,Wohnung,100233054,Miete,"Kurfürstendamm 150, Wilmersdorf (Wilmersdorf), Berlin",true,true,Berlin,true,002.01007311508,false,52.49846,180,13.30053,4,10709,2250,false,Wilmersdorf (Wilmersdorf),Traum-Penthouse-Wohnung am Ku´damm,https://www.immobilienscout24.de/expose/100233054,12.5
100372560,Wohnung,100372560,Miete,"Markgrafenstraße  28, Mitte (Mitte), Berlin",true,true,Berlin,false,001.8347,false,52.50916,118.2,13.39424,3,10117,1650,false,Mitte (Mitte),Wir haben was Sie suchen: Beste Lage trifft auf beste Ausstattung,https://www.immobilienscout24.de/expose/100372560,13.9593908629
100541356,Wohnung,100541356,Miete,"Französische Straße 56, Mitte (Mitte), Berlin",false,true,Berlin,true,001.12875085,false,52.51469,127,13.38749,3,10117,2409,false,Mitte (Mitte),Viel Platz * hell und luxuriös * Bestlage * zentral & ruhig * Erstbezug,https://www.immobilienscout24.de/expose/100541356,18.968503937
